# STEVAL-MKI227KA (LSM6DSV16X)

time[us],acc_x[mg],acc_y[mg],acc_z[mg]
6319549956,-763.720,489.708,425.780
6319650216,-723.094,522.404,469.944
6319700500,-910.181,543.571,478.179
6319750051,-757.132,452.620,403.698
6319850003,-969.778,450.302,354.715
6319899575,-959.896,364.048,820.206
6319950312,-728.157,110.410,883.463
6320050449,-969.595,-15.921,383.141
6320100266,-867.298,248.636,-136.152
6320200148,-976.732,701.866,587.857
6320251145,-450.302,449.204,-520.757
6320300424,460.245,46.116,-1452.898
6320399795,-157.441,116.388,-751.703
6320450223,-217.343,340.075,-292.251
6320500397,-583.648,79.483,771.955
6320600024,-460.916,417.850,417.789
6320649966,-462.563,-74.847,1126.792
6320699953,-364.841,-480.497,1520.425
6320800097,-899.933,235.338,365.878
6320849879,424.865,-341.173,-1322.236
6320950370,-203.557,-206.546,-588.711
6320999896,-395.768,-314.150,877.180
6321051130,77.470,-1122.156,1206.458
6321150444,-468.480,-553.209,1028.887
6321200602,-655.811,-610.000,1318.881
6321250184,-572.119,-296.521,1211.155
6321350566,-37.088,-56.181,143.289
6321400804,-1060.485,-170.922,-1358.165
6321450227,-1307.047,137.738,-703.391
6321549799,-938.119,-57.035,-310.734
6321599862,1001.559,-427.427,446.642
6321700668,1998.604,-434.015,1240.862
6321749792,230.519,-430.782,188.185
6321800450,-1165.771,-621.468,-759.572
6321899855,-1998.604,-601.216,-663.985
6321950552,-1337.547,-218.075,-366.244
6322000287,305.854,45.567,177.876
6322099884,433.954,-145.485,374.845
6322150467,-92.964,-529.968,422.669
6322250208,-563.701,-1188.524,846.070
6322300497,-814.167,-1102.636,776.774
6322350246,-520.757,-1557.879,182.512
6322450988,-1146.617,-886.635,187.819
6322501161,-1501.942,-925.187,78.629
6322550097,-1067.927,-1324.493,223.077
6322649901,-395.158,72.224,300.730
6322700621,-458.415,352.519,-877.119
6322749649,1086.898,291.702,-634.766
6322850319,968.436,181.231,-774.517
6322901134,-411.201,-562.542,321.653
6322999939,-1755.031,-805.444,949.343
6323050474,-1998.604,-447.252,955.382
6323099839,-1193.831,-370.514,200.995
6323200719,-109.373,11.895,19.032
6323250290,911.462,108.275,-419.863
6323300345,871.873,246.013,-620.980
6323400307,897.676,76.189,-591.029
6323450141,105.774,-479.887,-562.786
6323500282,-789.767,-680.699,-1184.620
6323599853,-411.018,-815.021,-1515.179
6323650453,-235.033,-1270.752,-721.752
6323750093,178.852,-1433.073,-358.314
6323799808,192.638,-916.159,-924.028
6323850676,136.152,-692.960,-816.363
6323950095,-1539.884,-449.204,-1331.691
6324000524,-1242.936,-201.666,-681.431
6324051099,-501.054,-134.566,-514.779
6324149937,-11.163,125.843,-818.925
6324200435,-267.668,318.481,-922.381
6324250633,192.150,329.583,-933.666
6324349702,713.273,429.806,-1067.927
6324399638,-328.790,161.406,-1574.044
6324499933,-290.177,93.757,-718.458
6324551655,-179.950,195.139,1483.642
6324600464,800.015,-5.368,840.763
6324700953,-610.305,16.897,-857.599
6324750672,-1553.487,378.322,-1998.604
6324799920,-388.082,-243.695,-1366.034
6324901144,-86.559,-182.024,163.907
6324950696,483.364,-433.954,1149.057
6325050177,982.039,-456.341,1922.964
6325100142,807.701,-90.951,1589.782
6325150862,86.498,-332.023,1246.779
6325250205,128.283,-416.996,-35.624
6325300253,214.171,-374.540,-606.645
6325350632,387.167,-1296.433,-467.138
6325450258,1535.858,-1750.273,-1426.058
6325500451,428.769,-857.721,-235.643
6325550225,569.374,-819.779,-434.930
6325650197,576.572,-518.073,-274.134
6325700326,491.721,-544.059,-198.006
6325800088,671.183,-614.087,-407.358
6325849826,622.932,-1355.908,-1518.717
6325900606,509.655,-1608.509,-1805.356
6326000257,18.178,-1855.010,-571.936
6326051654,-210.511,-1837.076,198.372
6326100343,427.732,-1998.604,1610.522
6326200425,1176.995,-1682.624,1998.604
6326251109,760.304,-801.967,1075.491
6326301149,374.174,-1136.918,1751.554
6326400322,128.954,-1152.717,584.746
6326450126,212.463,-368.379,-556.259
6326550122,501.542,-264.557,-991.006
6326600240,676.917,-228.811,-1457.046
6326651362,832.223,-858.087,-1943.338
6326750417,538.752,-1043.649,-1233.054
6326801033,-735.721,-605.303,924.211
6326850960,-3.050,-115.229,667.584
6326951046,284.626,-536.495,1998.604
6327000588,198.067,-792.329,1998.604
6327050012,-159.820,-774.578,1658.102
6327150605,71.431,-840.397,325.252
6327199909,478.972,-810.263,-886.452
6327299648,1029.131,-523.563,-1998.604
6327350523,782.386,-657.702,-1658.895
6327400201,85.705,-90.646,-349.835
6327500325,127.978,-208.193,613.965
6327551096,118.279,-485.072,1998.604
6327601012,129.137,-286.212,263.154
6327699688,159.820,-203.313,-1314.977
6327750073,94.428,-108.031,-1640.778
6327851347,-116.388,-630.313,-1998.604
6327900633,155.001,-1026.386,-1852.021
6327950558,-72.041,-1998.604,947.452
6328050322,542.107,-1492.548,1998.604
6328100853,-127.856,-1385.066,1998.604
6328150310,264.618,-1485.289,1531.527
6328250012,8.723,-1432.768,-105.591
6328299769,-394.304,-919.453,-1998.604
6328350275,-668.621,43.310,-1998.604
6328450591,569.069,-787.449,-396.317
6328499839,851.743,-226.432,954.101
6328600724,-440.359,160.918,15.006
6328650076,-188.490,-893.162,299.205
6328700291,302.133,-1302.838,1998.604
6328800503,292.434,-1409.527,1998.604
6328851462,-205.936,-1373.354,1998.604
6328900944,58.316,-1053.836,249.063
