# STEVAL-MKI227KA (LSM6DSV16X)

time[us],acc_x[mg],acc_y[mg],acc_z[mg]
6207050386,-372.405,-461.160,813.130
6207100279,-354.776,-474.519,835.090
6207150205,-327.204,-516.670,883.707
6207250102,-443.348,-637.084,997.838
6207300283,-358.314,-430.538,969.412
6207351063,-240.584,-451.339,794.586
6207449984,-255.773,-393.755,856.379
6207499962,-241.621,-315.492,755.363
6207550521,-248.453,-324.459,532.347
6207649687,-422.669,-675.758,831.613
6207700326,-322.507,-619.150,997.411
6207800794,-404.125,-483.608,1148.752
6207850016,-360.510,-297.375,853.451
6207900272,-489.342,160.430,702.476
6207999995,-763.598,431.819,283.040
6208050604,-638.548,377.651,66.490
6208100547,-741.089,347.395,-390.156
6208200065,-957.517,261.873,-608.353
6208249798,-987.895,131.394,-900.238
6208350369,-928.298,404.735,-666.242
6208400237,-589.504,534.482,-378.200
6208450549,-600.789,585.844,490.928
6208549671,-59.292,577.182,499.041
6208599958,-188.368,363.194,-1486.082
6208650029,-205.753,204.350,-1770.159
6208749775,-5.673,361.730,-297.253
6208800571,-39.711,559.492,744.810
6208849890,-406.443,549.122,535.153
6208950476,-855.037,420.961,465.918
6208999554,-810.446,321.348,458.781
6209100338,-620.492,-91.073,538.386
6209150107,-508.496,-516.182,1029.497
6209200472,-275.964,-635.315,894.321
6209300048,-315.614,-845.094,1249.524
6209350374,-150.548,-642.696,736.758
6209400075,-166.774,-592.249,1070.550
6209499944,-87.840,-239.913,935.130
6209549896,-192.882,42.029,524.478
6209600094,-589.382,49.532,618.906
6209700381,-701.927,-268.522,1291.065
6209749646,-242.353,-542.168,847.290
6209849762,-443.104,-284.931,1316.319
6209899697,-432.063,48.495,741.638
6209950555,-465.491,345.321,549.915
6210049697,-718.397,418.094,645.075
6210100646,-434.198,250.527,1632.482
6210150541,-322.629,364.597,696.681
6210249819,22.448,422.669,84.302
6210299957,343.857,597.922,-625.616
6210350236,377.590,449.326,-365.756
6210450364,613.233,153.537,-723.460
6210500135,765.977,-136.335,-1117.520
6210600576,590.968,-127.856,-881.267
6210650136,467.504,-259.433,-774.700
6210700314,404.064,-475.129,-665.083
6210799902,551.501,-610.610,-787.144
6210850114,803.004,-706.136,-948.428
6210900427,782.264,-702.293,-528.809
6210999659,1183.461,-662.948,-666.852
6211050169,1218.414,-615.368,-284.016
6211150450,736.392,-263.703,137.738
6211200585,42.456,-78.141,-480.375
6211250598,-1520.303,489.037,249.002
6211349785,-878.461,504.043,-416.020
6211400302,-846.985,414.800,-542.290
6211449903,-810.263,166.530,-133.895
6211550079,-739.381,-49.105,-296.338
6211599844,-766.648,-425.292,-66.612
6211650102,-1086.776,-764.025,124.867
6211749868,-673.501,-833.260,-79.361
6211800706,-837.713,-873.398,-61.976
6211900739,-911.340,-720.776,-194.102
6211950091,-788.547,-695.766,-195.505
6211999691,-1064.267,-725.412,-857.355
6212100105,-1051.152,-694.302,-664.412
6212150189,-876.570,-89.731,-723.765
6212200096,-112.179,337.879,-83.387
6212299675,-8.113,501.054,245.952
6212350235,-305.610,-253.638,334.219
6212400361,-706.136,-1732.949,228.262
6212499790,-1998.604,-1802.062,-251.625
6212550120,-939.034,-1210.850,483.486
6212650323,-289.750,-822.707,359.229
6212700431,-201.178,-600.606,425.841
6212749774,-740.540,-584.746,542.290
6212849985,-540.582,-647.515,909.876
6212899969,-369.782,-458.171,826.672
6212950185,-415.349,-101.321,986.736
6213050058,-616.039,-68.076,794.464
6213100370,-250.161,310.795,413.885
6213150185,-664.290,372.832,170.983
6213249881,-1173.640,240.645,733.952
6213300405,-1115.263,338.550,491.843
6213400663,-745.298,469.151,270.352
6213450074,-577.731,581.696,-6.344
6213500065,-665.266,228.628,-303.414
6213600121,-596.397,195.871,-806.115
6213649656,-626.531,25.498,-1159.793
6213699643,-534.238,97.478,-1274.290
6213799939,-862.906,201.849,-1149.423
6213850232,-613.538,174.643,-1024.373
6213950246,-89.670,408.944,-511.241
6214000204,77.104,705.465,-227.469
6214050463,-26.596,209.718,-431.209
6214150641,-1808.467,109.190,1344.623
6214200124,-929.762,330.559,929.640
6214250457,-738.100,229.421,938.058
6214350160,-103.822,179.584,479.094
6214400023,752.435,17.019,272.731
6214450476,1027.118,-135.725,290.360
6214550118,632.875,-408.517,875.045
6214600525,689.666,-552.355,879.010
6214700480,488.610,-616.161,1042.795
6214750884,389.302,-423.767,1116.056
6214799999,39.040,-85.949,1133.746
6214900790,149.450,195.200,1104.466
6214949921,187.697,410.713,799.405
6215000611,242.536,701.500,263.642
6215100532,353.617,874.801,-77.897
6215149946,312.198,782.569,292.495
6215199927,110.227,626.409,645.807
6215300736,-248.270,643.611,549.244
6215350033,-731.756,708.820,840.458
6215450229,-842.471,615.307,900.482
6215499794,-501.969,493.368,527.528
6215550095,-400.953,709.735,-286.334
6215650551,-430.843,873.581,-799.283
6215700528,-176.778,805.139,-850.401
6215750556,-73.322,559.553,82.106
6215850778,-485.194,447.923,830.149
6215900370,-758.535,433.893,1097.512
6215949933,-485.621,376.126,1088.362
6216050023,241.316,309.270,705.770
6216100391,645.319,315.858,265.777
6216200292,426.634,153.781,641.903
6216249890,168.787,-47.092,783.667
6216300852,124.806,-594.933,866.810
6216400006,-311.893,-862.479,927.139
6216449879,-609.207,-804.834,726.205
6216500164,-804.651,-805.566,491.538
6216600107,-882.365,-680.455,608.902
6216650705,-883.402,-544.425,610.244
6216750152,-713.395,-510.692,736.697
6216800209,-593.591,-202.398,640.073
6216850242,-976.000,370.819,403.332
6216950479,-497.150,456.402,133.895
6217000356,96.502,507.825,-335.805
6217050114,576.145,394.609,-1064.206
6217150333,750.300,310.429,-1143.445
6217200610,458.110,405.772,-906.399
6217249999,48.617,360.815,-403.271
6217350931,-578.524,120.902,360.754
6217400203,-780.129,-6.405,794.708
6217500786,-764.025,-148.230,889.319
6217550452,-671.000,-359.412,997.350
6217600618,-761.463,-346.114,797.026
6217699838,-731.695,-396.134,959.103
6217750154,-506.849,-294.264,721.630
6217800885,-731.756,-77.348,347.395
6217899989,-975.024,171.105,128.771
6217950227,-1123.376,73.932,254.187
6218000201,-1193.038,-16.104,261.263
6218100330,-704.245,54.107,96.014
6218150004,-790.438,205.875,210.511
6218250362,-815.265,127.124,222.711
6218300349,-1254.282,100.955,284.138
6218350996,-1099.586,123.037,283.040
6218449948,-1052.006,262.910,159.088
6218500494,-1005.341,327.143,115.229
6218549747,-874.740,403.820,-45.445
6218649920,-443.165,375.028,-269.681
6218700049,-629.581,259.311,-539.606
6218749985,-639.707,489.464,-1559.404
6218850034,-752.740,459.330,-686.189
6218900229,-631.045,179.157,-314.821
6219000451,-973.316,-20.557,471.652
6219050128,-1029.436,-75.701,327.387
6219100232,-1172.725,-91.256,273.219
6219199766,-1026.813,-156.526,227.347
6219250380,-861.259,-163.907,270.535
6219300075,-837.591,-327.082,357.399
6219400420,-1034.926,-313.967,289.323
6219450296,-988.444,-349.774,36.966
6219500439,-866.810,-447.008,-125.843
6219600323,-1145.397,-232.593,-137.555
6219650759,-1071.038,-269.498,-90.707
6219750033,-1130.086,174.033,-173.850
6219800731,-1153.327,297.314,-243.634
6219850240,-549.793,600.118,-293.654
6219950278,-60.207,828.929,-58.682
6220000244,323.544,868.640,167.506
6220050176,475.068,767.929,189.283
6220150166,-391.132,280.905,-57.706
6220199712,-1385.676,-104.859,-132.614
6220300029,-1477.481,-111.874,153.720
6220349636,-917.562,-222.406,351.238
6220399989,-1048.285,-118.706,513.254
6220500164,-834.175,-10.858,622.505
6220550223,-671.305,198.250,573.888
6220600772,-556.381,270.596,420.717
6220700274,-895.602,120.963,855.708
6220750447,-285.724,44.530,870.348
6220800128,-288.225,8.113,695.949
6220900324,211.487,-275.232,958.859
6220949824,155.855,-388.692,1084.153
6221049636,334.463,-367.525,1364.631
6221100317,31.720,-87.108,1108.797
6221150252,-69.174,292.861,902.312
6221250084,43.554,538.020,670.085
6221300451,-389.241,638.060,531.249
6221350292,-228.323,674.416,4.819
6221450745,-620.431,719.129,-470.432
6221500696,-972.645,705.587,-522.465
6221550300,-768.722,749.568,-514.169
6221651155,-249.795,709.918,-345.687
6221700152,408.883,794.037,-611.586
6221800328,230.702,767.990,-551.562
6221849859,-90.280,596.153,-483.486
6221900466,-905.972,477.081,-500.139
6222000251,-1202.676,569.923,-545.645
6222050044,-735.599,499.956,-709.857
6222099926,-664.412,579.805,-433.893
6222200523,-672.342,653.554,0.488
6222250304,-408.090,741.821,199.775
6222350491,-498.919,915.122,182.634
6222400335,-473.665,862.906,91.134
6222450539,-186.599,626.531,301.279
6222550824,103.273,344.711,649.040
6222600328,336.293,39.345,912.377
