acc_l_x[mg],acc_l_y[mg],acc_l_z[mg],acc_h_x[mg],acc_h_y[mg],acc_h_z[mg]
970.632,-258.64,-254.736,960.384,-218.624,-413.824
970.632,-263.52,-255.224,952.576,-195.2,-413.824
966.24,-249.856,-254.248,952.576,-156.16,-421.632
964.288,-296.704,-246.44,936.96,-242.048,-421.632
974.048,-327.936,-256.2,968.192,-273.28,-413.824
951.6,-307.928,-215.696,897.92,78.08,-484.096
932.568,-132.736,-278.648,1085.312,312.32,-257.664
1066.28,-401.624,-231.312,1046.272,-530.944,-655.872
1039.44,-587.552,-398.696,921.344,7.808,-374.784
897.92,-101.016,-300.12,882.304,-101.504,-507.52
962.824,-352.824,-268.4,952.576,-320.128,-421.632
1015.528,-355.752,-306.952,991.616,-203.008,-554.368
936.472,-303.048,-276.208,866.688,-257.664,-468.48
914.024,-364.048,-414.312,897.92,-288.896,-616.832
911.584,-362.584,-360.632,968.192,-273.28,-546.56
1004.304,-302.56,-422.12,983.808,-226.432,-577.792
962.336,-342.088,-345.992,952.576,-257.664,-507.52
938.424,-317.688,-324.52,929.152,-452.864,-437.248
887.184,-785.68,-269.376,905.728,-796.416,-476.288
814.96,-833.992,-280.112,788.608,-757.376,-460.672
719.312,-1057.496,-323.056,491.904,-2561.024,-663.68
-126.88,-6627.528,-1071.648,-562.176,-9666.304,-2233.088
-4270.0,-15317.344,-6702.68,-5551.488,-45208.32,-10181.632
-13539.072,-15735.072,-3965.488,-12727.04,-19309.184,7167.744
-15988.832,-15238.776,-3139.792,-19184.256,-25945.984,-2764.032
-12719.72,2764.032,4756.048,-11540.224,8518.528,8784.0
-1526.464,15988.832,-2156.472,6324.48,17833.472,15256.832
13713.288,-14439.432,-2616.656,20769.28,-56326.912,-22432.384
15988.832,-15649.184,-8868.912,21034.752,-35424.896,343.552
9059.232,10878.008,1248.304,452.864,38946.304,4833.152
-11936.968,-4588.664,13909.464,-13835.776,-14374.528,6410.368
-8536.096,-15212.424,-6732.448,-1327.36,14116.864,-3716.608
4923.92,5118.144,1655.296,4411.52,-1038.464,-273.28
1401.536,-10965.848,230.824,1085.312,-8994.816,5567.104
1440.088,515.328,-2358.992,-265.472,8924.544,5980.928
333.304,7228.256,357.216,296.704,2162.816,-3201.28
1350.296,-2900.672,-2490.752,944.768,-2849.92,1702.144
2205.76,2189.168,938.912,4919.04,7308.288,-445.056
2598.6,4059.672,-234.24,2076.928,1952.0,-1928.576
1439.112,-11.712,-523.136,1561.6,1046.272,827.648
666.608,4250.48,1894.416,1928.576,2998.272,-2397.056
2183.8,813.496,132.248,2334.592,359.168,772.992
3363.784,1334.68,-479.704,3521.408,2045.696,-1319.552
3611.688,1660.664,-990.152,1850.496,23.424,-484.096
529.48,-797.88,53.68,546.56,-609.024,242.048
-1160.464,893.04,672.464,-1717.76,1163.392,905.728
-1150.704,186.416,888.16,-390.4,281.088,905.728
1690.432,453.352,13.176,2342.4,655.872,-905.728
2874.808,1072.624,-782.264,2740.608,1093.12,-741.76
3185.176,590.968,-651.968,2186.24,1436.672,-312.32
2014.952,2013.976,47.336,2147.2,2201.856,-429.44
1385.92,1910.52,-534.848,1116.544,1803.648,-382.592
988.2,-220.088,-153.232,983.808,-140.544,-359.168
999.912,-220.576,-154.696,976.0,-179.584,-351.36
1001.376,-229.848,-151.28,983.808,-187.392,-320.128
996.008,-243.024,-145.912,976.0,-156.16,-335.744
997.96,-220.576,-147.864,1007.232,-179.584,-296.704
996.008,-259.616,-131.272,999.424,-218.624,-335.744
996.496,-310.856,-130.296,1077.504,39.04,-421.632
1033.584,-19.52,-84.912,913.536,-31.232,-257.664
1042.856,-196.664,-63.928,1069.696,-109.312,-296.704
1113.128,-19.52,-194.712,1030.656,-304.512,-468.48
990.152,-524.112,-263.032,944.768,-468.48,-437.248
910.12,-382.592,-178.608,968.192,-218.624,-429.44
986.736,-253.76,-166.896,983.808,-195.2,-327.936
1096.048,-208.376,-211.792,1085.312,-124.928,-429.44
1133.624,-106.872,-243.024,1038.464,-148.352,-382.592
1052.128,-178.12,-226.432,999.424,-62.464,-437.248
965.264,-31.232,-207.888,944.768,46.848,-366.976
1014.552,-90.768,-228.384,999.424,-101.504,-452.864
1063.84,-665.144,-312.808,858.88,-1428.864,-351.36
646.112,-1688.48,-175.192,538.752,-1655.296,-335.744
303.048,-1895.392,-119.072,-1241.472,-18052.096,-4700.416
-627.08,-8647.36,-1852.936,-8635.648,-70014.336,-12750.464
-13264.816,-15466.184,6910.568,-13429.76,-35471.744,27398.272
-15988.832,-10448.08,9372.528,-20425.728,-21339.264,-2818.688
-15988.832,-11172.272,-1720.2,-6746.112,59621.888,-6160.512
6495.28,15988.832,-13530.776,16388.992,103690.24,-382.592
12991.048,-3698.064,14044.152,32309.504,-72840.832,-42584.832
13072.056,-14714.664,-519.232,9908.352,-21253.376,6894.464
-8512.672,8373.592,9008.48,-8370.176,18075.52,11805.696
-2438.048,15988.832,-10481.752,-2272.128,8299.904,26812.672
-5186.952,13750.376,3847.392,-12274.176,-24782.592,-3326.208
-4701.88,-15714.088,-8998.72,-2467.328,-30989.952,-757.376
2827.96,-11817.408,1720.2,2764.032,-7105.28,-3732.224
4136.288,15988.832,-7864.12,3224.704,21432.96,-7409.792
4420.792,-16.592,4832.664,1530.368,-12477.184,866.688
2105.72,-12987.144,-5877.472,1038.464,3068.544,-148.352
672.464,8653.216,-1967.128,1428.864,8456.064,-2795.264
1556.232,6416.224,152.744,819.84,5723.264,2147.2
1755.336,161.04,-976.488,1928.576,2514.176,-819.84
2684.976,4567.192,1418.616,3513.6,5161.088,929.152
3543.856,3628.768,-3146.136,3037.312,554.368,710.528
2867.488,966.728,1134.6,2693.76,1241.472,-2475.136
1916.376,2420.968,-546.56,1897.344,2553.216,39.04
1000.888,645.624,371.368,694.912,523.136,772.992
696.376,702.72,133.712,-655.872,-835.456,1405.44
-396.744,-800.32,-157.136,-257.664,-679.296,-460.672
189.832,-63.928,912.56,249.856,257.664,351.36
1139.968,334.28,-367.464,1928.576,-210.816,-593.408
2300.432,491.416,-306.464,2225.28,624.64,-632.448
532.408,62.464,-618.784,3154.432,1483.52,-2428.288
