acc_l_x[mg],acc_l_y[mg],acc_l_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps],acc_h_x[mg],acc_h_y[mg],acc_h_z[mg]
271.328,607.56,-764.696,12.53,-8.54,4.06,288.896,648.064,-804.224
273.768,604.632,-763.72,12.6,-8.33,4.2,304.512,640.256,-812.032
273.768,601.216,-761.768,12.6,-8.05,4.34,288.896,655.872,-796.416
268.888,597.8,-762.744,12.6,-7.91,4.41,304.512,632.448,-788.608
268.888,593.896,-760.304,12.6,-7.77,4.48,304.512,632.448,-788.608
265.96,591.456,-761.28,12.6,-7.56,4.55,296.704,648.064,-772.992
262.544,587.552,-757.864,12.32,-7.63,4.48,304.512,640.256,-812.032
260.592,586.088,-759.328,12.04,-7.63,4.27,312.32,632.448,-772.992
260.104,585.112,-759.816,11.55,-7.77,3.99,281.088,632.448,-804.224
259.128,586.576,-759.328,11.06,-7.7,3.71,312.32,655.872,-796.416
258.152,590.48,-764.208,10.29,-7.77,3.22,296.704,640.256,-804.224
258.152,593.408,-768.6,9.59,-7.84,2.87,296.704,616.832,-788.608
260.104,596.824,-774.456,8.75,-7.91,2.52,281.088,640.256,-804.224
261.568,601.704,-779.824,7.91,-7.98,2.1,343.552,640.256,-835.456
262.544,605.12,-781.288,7.21,-7.98,1.82,304.512,648.064,-835.456
264.496,605.12,-783.728,6.3,-7.91,1.54,296.704,663.68,-812.032
266.448,606.584,-785.68,5.46,-7.77,1.33,304.512,640.256,-835.456
267.424,607.072,-786.168,4.62,-7.7,1.05,281.088,663.68,-835.456
268.888,606.584,-784.704,3.85,-7.56,0.91,304.512,655.872,-812.032
266.936,604.144,-785.192,3.08,-7.35,0.7,296.704,655.872,-827.648
265.96,601.216,-782.264,2.31,-7.21,0.49,320.128,648.064,-827.648
264.008,600.728,-783.24,1.54,-7.0,0.28,312.32,655.872,-812.032
262.544,597.8,-784.216,0.77,-6.86,0.21,288.896,648.064,-804.224
261.568,596.824,-786.656,0.07,-6.86,0.14,288.896,648.064,-819.84
255.712,595.848,-784.216,-0.56,-6.93,0.07,304.512,640.256,-804.224
250.832,595.848,-782.752,-1.26,-7.07,0.0,273.28,655.872,-819.84
249.368,600.728,-785.68,-2.17,-7.28,-0.42,281.088,671.488,-812.032
250.832,600.728,-803.248,-3.22,-7.35,-0.98,249.856,655.872,-835.456
260.592,595.36,-825.208,-3.85,-7.14,-1.4,288.896,640.256,-851.072
270.352,584.624,-851.072,-3.85,-6.72,-1.75,312.32,632.448,-874.496
284.016,573.4,-872.056,-2.94,-6.02,-1.61,312.32,632.448,-921.344
293.288,561.688,-881.328,-1.68,-5.11,-1.05,320.128,593.408,-905.728
297.68,545.584,-869.128,-0.56,-4.13,-0.07,320.128,601.216,-905.728
296.216,529.48,-844.24,0.42,-3.5,0.7,304.512,585.6,-866.688
291.336,517.768,-818.864,1.12,-2.94,1.19,335.744,585.6,-858.88
284.992,513.864,-796.416,1.89,-2.73,1.19,320.128,546.56,-827.648
278.648,518.744,-783.24,2.8,-2.59,0.63,296.704,577.792,-819.84
272.792,534.36,-773.48,3.71,-2.59,-0.14,304.512,585.6,-804.224
268.888,557.296,-767.624,4.62,-2.87,-0.63,296.704,616.832,-788.608
269.864,584.136,-763.232,5.25,-3.29,-1.12,304.512,671.488,-804.224
270.84,612.44,-761.28,5.67,-3.78,-1.4,320.128,663.68,-796.416
277.184,635.864,-757.864,5.95,-3.85,-1.47,288.896,687.104,-772.992
280.6,658.312,-756.888,5.88,-3.64,-1.12,312.32,687.104,-780.8
283.04,671.0,-756.888,5.74,-3.36,-0.56,304.512,710.528,-772.992
283.04,680.272,-756.888,5.39,-3.01,0.28,304.512,718.336,-812.032
278.648,684.176,-761.28,4.69,-2.66,1.19,296.704,733.952,-788.608
273.28,679.784,-759.328,3.99,-2.24,2.17,320.128,726.144,-804.224
265.96,671.0,-757.864,3.22,-2.03,2.94,296.704,710.528,-796.416
258.152,657.824,-754.448,2.45,-1.89,3.5,320.128,710.528,-819.84
252.296,644.16,-752.008,1.68,-1.68,3.78,288.896,687.104,-772.992
245.464,629.52,-751.032,1.05,-1.89,4.06,249.856,663.68,-796.416
241.56,613.416,-749.08,0.42,-2.1,4.06,257.664,640.256,-765.184
241.56,601.704,-749.08,-0.07,-2.31,4.06,265.472,640.256,-780.8
241.56,591.456,-750.544,-0.49,-2.59,3.99,257.664,624.64,-765.184
244.0,586.088,-752.008,-0.63,-3.01,3.78,281.088,640.256,-780.8
248.392,580.72,-754.936,-0.84,-3.15,3.57,273.28,616.832,-788.608
251.808,578.28,-754.448,-0.91,-3.22,3.22,281.088,632.448,-772.992
254.248,580.72,-756.888,-0.98,-3.29,2.94,304.512,640.256,-780.8
257.176,583.648,-758.352,-0.91,-3.43,2.59,273.28,640.256,-788.608
260.104,588.528,-759.816,-1.05,-3.5,2.24,296.704,632.448,-796.416
264.984,590.968,-761.28,-1.33,-3.57,2.03,296.704,632.448,-796.416
268.888,596.824,-762.744,-1.4,-3.57,1.89,304.512,648.064,-804.224
272.792,597.312,-762.744,-1.54,-3.57,1.89,304.512,648.064,-827.648
274.744,600.728,-764.696,-1.54,-3.57,1.96,320.128,632.448,-796.416
279.624,600.24,-765.184,-1.54,-3.43,2.1,296.704,632.448,-796.416
279.624,600.24,-766.16,-1.68,-3.29,2.24,304.512,648.064,-796.416
279.136,597.8,-768.112,-1.82,-3.15,2.45,320.128,640.256,-804.224
280.6,596.336,-771.528,-1.89,-3.08,2.59,320.128,624.64,-796.416
278.16,593.408,-773.48,-1.89,-2.73,2.52,320.128,632.448,-796.416
276.208,589.992,-774.456,-1.89,-2.59,2.45,288.896,632.448,-827.648
271.816,587.064,-774.944,-1.54,-2.31,2.38,304.512,616.832,-796.416
269.376,584.136,-772.016,-1.19,-2.1,2.24,281.088,632.448,-796.416
