# STEVAL-MKI227KA (LSM6DSV16X)

time[us],acc_x[mg],acc_y[mg],acc_z[mg]
3261650756,-213.500,170.983,-980.941
3261700872,-168.604,146.339,-910.608
3261751160,-224.419,181.353,-1004.548
3261850695,-193.126,148.352,-945.439
3261900685,-209.108,134.810,-962.153
3262001189,-179.218,148.352,-966.118
3262051476,-186.782,146.339,-961.909
3262101522,-209.413,162.199,-966.606
3262200952,-202.215,177.510,-940.498
3262252151,-155.794,122.244,-941.596
3262301569,-221.308,167.689,-976.793
3262401375,-168.116,87.962,-941.474
3262451320,-203.435,136.823,-985.272
3262500764,-208.010,123.037,-956.175
3262601151,-226.981,191.296,-942.633
3262650714,-170.495,151.402,-974.048
3262751448,-169.458,122.610,-1003.755
3262801023,-116.327,107.909,-931.897
3262850917,-197.274,143.167,-975.329
3262951222,-151.951,131.211,-992.043
3263001018,-132.065,149.572,-999.119
3263051063,-166.835,170.922,-951.112
3263151275,-58.621,183.122,-970.876
3263201224,-11.834,182.939,-964.898
3263251240,0.427,192.333,-950.807
3263350938,-8.052,234.118,-971.852
3263401632,1.647,222.406,-977.098
3263500893,20.679,251.198,-991.921
3263551586,83.997,281.576,-947.391
3263601626,177.815,315.004,-900.665
3263700949,245.891,319.396,-876.143
3263751088,249.917,335.927,-859.856
3263801138,177.693,324.520,-844.484
3263901209,-22.814,273.097,-940.864
3263950980,-223.809,251.259,-949.831
3264000947,-317.322,234.118,-921.161
3264101564,-396.073,219.112,-874.374
3264150844,-483.059,181.353,-834.968
3264251510,-547.536,145.424,-808.067
3264302096,-579.683,92.781,-805.322
3264351727,-563.030,94.062,-846.924
3264451638,-499.285,10.553,-835.151
3264501585,-464.576,-6.710,-908.961
3264551332,-404.979,-26.047,-973.987
3264650937,-325.252,-5.795,-996.069
3264700894,-230.580,7.320,-956.785
3264801454,-149.450,36.417,-944.585
3264851152,-96.563,118.462,-1050.420
3264901113,-56.669,164.273,-999.119
3265000920,-72.224,223.565,-923.967
3265051268,-59.048,282.003,-901.580
3265101006,-66.734,327.692,-894.931
3265201854,-57.645,316.834,-865.285
3265251269,-41.907,267.668,-877.851
