# STEVAL-MKI227KA (LSM6DSV16X)

time[us],acc_x[mg],acc_y[mg],acc_z[mg]
5850599989,-4.087,-230.336,992.470
5850700397,-33.123,-227.469,991.494
5850750252,-18.239,-199.958,955.443
5850849987,-4.148,-226.676,980.087
5850899659,-83.204,-237.351,993.263
5850950156,-31.293,-243.146,1016.687
5851049556,-11.651,-194.590,925.797
5851099639,-2.928,-208.193,1001.132
5851150112,9.516,-221.491,996.557
5851250191,-34.831,-197.884,970.327
5851299884,-44.103,-215.452,966.118
5851350439,-43.310,-239.791,913.292
5851450394,-123.037,-228.811,1075.735
5851500481,-103.273,-210.999,940.010
5851599858,-139.202,-228.933,985.882
5851649865,-192.272,-184.708,955.748
5851700040,-304.085,-167.079,944.219
5851800299,-416.996,-120.536,903.898
5851849845,-536.983,-87.169,922.747
5851899897,-568.947,-9.577,744.871
5851999856,-648.186,6.100,856.562
5852050539,-645.258,73.688,759.328
5852150302,-649.833,107.787,748.409
5852199936,-648.552,154.635,753.594
5852249894,-638.792,200.324,741.333
5852349904,-628.788,239.974,727.791
5852400539,-619.150,272.304,728.889
5852450309,-622.444,316.346,694.363
5852550766,-611.464,333.121,676.368
5852600166,-602.924,327.448,707.783
5852649692,-646.051,314.882,691.130
5852750112,-548.024,278.465,730.353
5852800064,-564.250,264.862,760.182
5852900390,-534.848,216.123,811.361
5852950113,-502.518,157.502,876.814
5852999865,-413.397,115.900,898.896
5853099829,-375.821,89.060,955.626
5853150419,-370.209,75.884,964.044
5853200165,-377.285,99.308,943.365
5853299850,-400.465,123.952,845.033
5853349815,-463.722,140.971,912.194
5853401002,-473.360,154.513,896.273
5853499991,-528.382,176.900,825.452
5853549775,-628.849,193.614,751.703
5853650961,-717.055,179.950,673.806
5853700813,-797.453,184.769,638.975
5853750445,-751.398,232.532,541.924
5853849938,-780.800,253.455,602.314
5853899982,-725.046,232.776,608.841
5853950714,-695.095,182.939,673.562
5854050641,-635.315,142.313,739.869
5854100334,-551.562,128.161,801.113
5854150379,-461.343,110.776,826.123
5854249911,-424.316,76.189,934.459
5854299979,-372.527,53.009,927.139
5854400534,-371.002,49.776,952.210
5854450064,-358.985,71.004,986.675
5854499965,-296.704,120.658,985.638
5854599927,-196.847,168.482,948.733
5854650412,-83.692,209.657,1013.698
5854699671,56.059,243.695,939.278
5854799774,161.894,287.554,947.391
5854849661,263.764,315.004,890.173
5854950152,308.599,360.449,856.257
5855000036,357.582,402.356,826.123
5855050145,413.275,443.165,789.828
5855150113,452.254,473.116,733.281
5855200513,519.293,485.621,701.012
5855251412,555.405,467.199,695.949
5855350491,604.937,423.218,687.165
5855400906,628.788,395.829,668.377
5855449791,650.199,350.567,668.804
5855550211,675.819,247.599,707.173
5855600459,677.893,160.186,744.444
5855700020,693.509,63.135,720.410
5855750487,700.036,-16.104,759.084
5855800119,676.429,-78.385,767.990
5855900046,653.920,-136.457,775.127
5855949816,638.670,-181.475,769.942
5855999858,631.716,-221.735,764.818
5856100225,600.972,-247.172,778.055
5856150078,584.136,-270.718,786.290
5856200920,577.365,-290.421,776.652
5856299793,525.576,-298.473,792.268
5856350744,514.352,-317.139,825.574
5856450413,504.043,-321.470,828.258
5856500698,469.517,-321.897,791.597
5856550232,403.820,-324.154,835.883
5856651403,330.254,-333.670,930.799
5856699798,183.183,-336.354,986.431
5856749743,101.016,-322.080,972.218
5856850785,42.212,-293.898,943.792
5856902278,-43.493,-264.374,975.451
5856999954,-123.769,-223.138,969.656
5857050115,-225.456,-181.902,967.826
5857100144,-330.620,-129.930,948.611
5857200107,-425.597,-68.625,924.333
5857250846,-501.664,4.209,874.008
5857300160,-515.572,46.970,865.224
5857400825,-561.078,98.027,915.000
5857450590,-407.358,133.956,923.235
5857500097,4.209,81.069,859.246
5857600846,311.283,-51.240,964.105
5857650321,301.889,-18.422,934.154
5857750516,205.997,105.225,1018.334
5857800535,49.227,202.581,1005.341
5857849746,-75.457,291.763,989.908
5857950122,-191.235,374.845,926.773
5857999981,-222.711,464.759,855.098
5858049863,-245.769,565.165,786.107
5858150397,-206.058,645.136,719.983
5858200197,-96.929,688.324,687.836
5858250500,-7.137,709.552,656.055
5858351401,3.477,759.694,622.078
5858400207,-7.869,788.608,597.739
5858499908,47.031,780.861,624.823
5858550463,113.826,737.124,649.833
5858600074,156.648,737.917,652.273
5858700758,191.723,743.346,649.650
5858749931,222.406,704.794,703.513
5858800310,203.618,600.606,757.864
5858900226,228.811,526.186,814.777
5858949754,199.043,488.366,852.231
5859000056,178.303,442.677,872.971
5859100689,168.055,397.232,898.896
5859149662,160.125,340.075,925.126
5859249996,172.752,273.341,968.802
5859299923,168.177,214.964,961.787
5859350536,159.820,163.907,960.994
5859449802,147.681,91.744,977.647
5859499928,129.259,20.557,992.287
5859549941,87.352,-46.726,990.823
5859649754,59.048,-140.361,1017.724
5859699886,28.365,-207.339,1000.278
5859800774,17.995,-273.768,1000.705
5859849875,15.494,-299.083,976.061
5859900635,22.387,-304.329,965.325
5860000344,-42.334,-292.983,961.116
5860050371,-147.742,-289.811,964.593
5860099734,-187.026,-280.295,967.887
5860200805,-197.762,-266.753,961.116
5860250045,-196.115,-243.695,953.796
5860299852,-205.448,-230.946,971.364
