# STEVAL-MKI227KA (LSM6DSV16X)

time[us],acc_x[mg],acc_y[mg],acc_z[mg]
5815749787,-4.514,26.840,1005.951
5815799805,-4.270,26.413,1004.853
5815850029,-4.453,27.084,1006.012
5815950186,-4.392,25.803,1005.402
5816000408,-3.660,27.206,1000.156
5816049883,-13.725,22.448,1011.258
5816150124,-14.091,16.287,1002.474
5816200678,-9.333,16.348,1004.914
5816300205,21.167,29.219,1008.208
5816350293,-18.239,6.771,1005.402
5816400072,-12.627,22.570,1005.707
5816500578,-6.649,14.762,1007.171
5816550051,-1.098,11.224,1012.661
5816599971,-29.829,8.052,1002.474
5816700153,-18.422,-0.427,1015.650
5816750912,-26.047,13.054,1024.556
5816800654,-144.509,4.758,992.775
5816900286,-212.951,8.723,993.934
5816949952,-282.064,26.108,979.233
5817051135,-395.036,26.962,987.529
5817100157,-394.792,27.023,931.592
5817150793,-438.163,34.038,854.000
5817250323,-484.401,66.185,871.690
5817299732,-549.854,52.277,786.473
5817350176,-616.100,46.055,731.756
5817449980,-696.986,15.921,696.559
5817500168,-732.793,16.653,715.530
5817550513,-715.652,30.500,657.275
5817649969,-744.688,12.566,714.371
5817699942,-651.541,183.793,478.484
5817801209,-1029.314,-86.620,736.514
5817850921,-809.409,-25.620,494.893
5817900208,-813.252,33.977,564.677
5818000510,-840.397,61.610,508.557
5818050348,-869.433,70.211,524.234
5818100068,-856.928,35.807,512.400
5818201143,-856.928,35.807,512.400
5818201193,-856.928,35.807,512.400
5818201200,-809.470,-12.932,580.293
5818250558,-717.055,-110.898,697.779
5818300606,-715.591,-138.653,706.075
5818400355,-634.278,-185.501,723.033
5818450569,-561.139,-192.333,765.123
5818550750,-574.437,-227.896,892.552
5818601040,-446.154,-201.605,745.176
5818649669,-340.380,-237.473,916.342
5818750116,-408.883,-265.594,929.091
5818799914,-310.368,-240.157,960.262
5818850190,-250.100,-223.626,896.639
5818950239,-230.824,-215.696,906.460
5819000031,-262.361,-240.645,951.295
5819100189,-270.474,-257.176,960.140
5819149721,-281.027,-242.536,923.540
5819200895,-308.965,-240.584,910.852
5819300609,-368.684,-243.268,956.358
5819350071,-434.747,-197.152,908.046
5819400062,-510.570,-153.598,871.690
5819500479,-565.226,-95.465,848.998
5819550208,-632.814,-22.448,780.861
5819600160,-608.658,30.988,764.452
5819700573,-586.088,72.529,733.464
5819750103,-636.474,130.418,800.381
5819850065,-582.916,115.778,777.506
5819900498,-589.443,142.679,776.103
5819949977,-567.788,145.973,813.008
5820050162,-537.898,148.657,859.368
5820100396,-441.884,137.372,881.084
5820150109,-357.460,137.799,912.560
5820250685,-278.770,129.686,938.729
5820300298,-236.192,129.991,967.948
5820350287,-177.693,149.206,978.745
5820450028,-147.681,146.949,970.083
5820500507,-134.932,165.798,964.105
5820600427,-111.203,170.922,985.577
5820650280,-75.762,176.656,986.126
5820700869,-60.390,185.684,991.250
5820800899,-32.025,185.745,979.965
5820849689,13.359,167.933,991.555
5820900563,61.671,168.177,995.215
5821000325,98.271,156.526,986.675
5821049966,154.696,136.701,985.516
5821100591,197.518,137.128,982.344
5821199998,241.499,122.793,969.595
5821250101,281.881,118.462,959.774
5821351261,366.915,101.504,934.886
5821400800,470.310,69.723,885.720
5821451236,560.102,56.974,836.066
5821550586,637.816,40.138,784.277
5821600846,686.433,38.674,752.496
