acc_x[g],acc_y[g],acc_z[g]
-0.305,0.046,0.946
-0.279,0.058,0.982
-0.273,0.076,0.968
-0.263,0.037,0.986
-0.261,0.001,1.026
-0.283,0.098,0.949
-0.254,0.025,1.001
-0.291,0.061,0.973
-0.255,0.036,0.9
-0.296,0.002,0.95
-0.302,0.08,0.951
-0.292,0.072,0.972
-0.274,-0.008,1.001
-0.3,0.057,0.933
-0.252,0.047,1.042
-0.261,0.064,0.966
-0.249,0.024,0.996
-0.298,0.051,0.925
-0.283,0.021,0.953
-0.292,0.06,0.965
-0.287,0.091,0.939
-0.281,0.012,0.982
-0.308,0.016,0.922
-0.268,0.057,0.998
-0.282,0.083,0.939
-0.255,0.025,1.028
-0.281,0.077,0.989
-0.273,0.026,0.953
-0.296,0.014,0.968
-0.269,0.104,0.974
-0.256,0.032,0.995
-0.307,0.04,0.925
-0.289,0.014,0.998
-0.291,0.083,0.942
-0.234,0.048,1.039
-0.269,0.038,0.986
-0.26,0.048,0.966
-0.263,0.013,0.999
-0.284,0.08,0.947
-0.255,0.041,1.005
-0.282,0.06,0.929
-0.273,-0.007,1.001
-0.318,0.087,0.906
-0.275,0.054,0.976
-0.285,0.037,0.998
-0.247,0.056,0.991
-0.26,0.01,0.989
-0.283,0.046,0.949
-0.246,0.054,1.018
-0.289,0.086,0.938
-0.275,-0.006,0.991
-0.303,0.037,0.918
-0.298,0.07,0.952
-0.283,0.053,0.99
-0.268,0.041,0.957
-0.264,0.034,0.998
-0.285,0.039,0.951
-0.272,0.045,1.013
-0.282,0.094,0.947
-0.248,0.019,0.997
-0.284,0.026,0.983
-0.288,0.056,0.95
-0.294,0.059,0.949
-0.277,0.055,0.976
-0.248,0.038,1.025
-0.292,0.045,0.919
-0.265,0.007,1.012
-0.289,0.09,0.938
-0.246,0.045,1
-0.286,0.024,0.953
-0.28,0.023,0.958
-0.291,0.055,0.965
-0.275,0.072,0.957
-0.254,0.015,1.008
-0.296,0.066,0.916
-0.254,0.001,1.021
-0.286,0.07,0.967
-0.243,0.063,1.024
-0.26,0.048,0.983
-0.258,0.007,0.987
-0.29,0.052,0.952
-0.29,0.077,0.921
-0.262,0.011,0.976
-0.306,0.081,0.921
-0.271,0.011,1.004
-0.315,0.038,0.906
-0.264,0.074,1.001
-0.279,0.063,0.957
-0.274,0.01,0.959
-0.28,0.013,0.984
-0.292,0.082,0.929
-0.248,0.032,1.038
-0.272,0.056,0.942
-0.275,0.028,0.968
-0.308,0.045,0.946
-0.273,0.05,0.994
-0.296,0.075,0.96
-0.26,0.042,0.999
-0.258,-0.01,1.023
-0.282,0.076,0.93
-0.258,0.034,0.988
-0.287,0.066,0.939
-0.258,0.033,0.994
-0.304,0.05,0.895
-0.3,0.025,0.948
-0.284,0.078,0.978
-0.262,0.067,0.971
-0.249,-0.001,1.03
-0.29,0.049,0.935
-0.248,0.039,1.018
-0.278,0.083,0.925
-0.268,0.015,0.906
-0.3,0.052,0.967
-0.282,0.046,0.994
-0.281,0.084,0.94
-0.278,0.026,0.983
-0.313,0.026,0.936
-0.274,0.026,0.982
-0.286,0.092,0.938
-0.239,0.017,1.014
-0.276,0.076,0.976
-0.268,0.019,0.953
-0.284,0.015,0.966
-0.266,0.093,0.968
-0.251,0.03,0.988
-0.309,0.041,0.921
-0.279,0.004,0.988
-0.294,0.074,0.914
-0.243,0.043,1.016
-0.267,0.041,0.992
-0.272,0.037,0.94
-0.288,0.017,0.967
-0.303,0.077,0.922
-0.268,0.042,0.985
-0.288,0.07,0.932
-0.258,-0.021,0.996
-0.327,0.09,0.885
-0.269,0.053,0.99
-0.271,0.035,1.001
-0.261,0.053,0.965
-0.272,0.008,0.975
-0.29,0.044,0.922
-0.268,0.041,0.989
-0.284,0.092,0.933
-0.282,-0.002,0.979
-0.312,0.037,0.917
-0.295,0.062,0.956
-0.282,0.058,0.99
-0.259,0.048,0.962
-0.283,0.033,0.982
-0.292,0.047,0.939
-0.269,0.015,0.999
-0.293,0.107,0.931
-0.265,0.017,0.97
-0.285,0.018,0.958
-0.282,0.043,0.945
-0.299,0.063,0.942
-0.28,0.052,0.973
-0.254,0.021,1.019
-0.289,0.059,0.921
-0.267,0,1.004
-0.281,0.09,0.937
-0.254,0.037,0.976
-0.3,0.035,0.958
-0.294,0.008,0.935
-0.298,0.052,0.979
-0.275,0.08,0.969
-0.263,0.015,1.001
-0.304,0.065,0.925
-0.232,0,1.04
-0.291,0.071,0.941
-0.254,0.057,0.996
-0.262,0.051,0.967
-0.284,0.002,0.962
-0.314,0.048,0.939
-0.303,0.08,0.902
-0.277,0.008,0.985
-0.286,0.058,0.94
-0.271,0.019,0.974
-0.317,0.053,0.911
-0.263,0.056,1.011
-0.277,0.069,0.952
-0.28,0.021,0.976
-0.284,0,0.955
-0.301,0.08,0.921
-0.265,0.027,0.997
-0.286,0.052,0.923
-0.279,0.015,0.955
-0.318,0.043,0.904
-0.277,0.047,1.001
-0.275,0.066,0.974
-0.264,0.053,0.974
-0.266,-0.017,1.013
-0.294,0.074,0.922
-0.279,0.035,0.947
-0.308,0.069,0.925
-0.275,0.026,0.976
-0.317,0.045,0.893
-0.305,0.023,0.948
-0.282,0.069,0.991
-0.259,0.071,0.966
-0.26,-0.006,1.024
-0.276,0.035,0.934
-0.264,0.027,0.995
-0.305,0.099,0.919
-0.267,0.009,0.98
-0.307,0.041,0.892
-0.29,0.025,0.954
-0.286,0.037,0.966
-0.281,0.079,0.928
-0.27,0.038,0.982
-0.297,0.019,0.912
-0.283,0.023,0.984
-0.289,0.096,0.931
-0.248,0.014,0.977
-0.28,0.073,0.936
-0.275,0.026,0.946
-0.297,0.089,0.969
-0.252,0.035,0.978
-0.291,0.038,0.924
-0.268,-0.004,0.987
-0.307,0.078,0.916
-0.262,0.043,0.99
-0.279,0.041,0.961
-0.287,0.036,0.928
-0.299,0.019,0.948
-0.311,0.064,0.934
-0.288,0.044,0.948
-0.294,0.076,0.915
-0.272,-0.028,1.001
-0.313,0.082,0.907
-0.271,0.045,0.97
-0.282,0.05,0.99
-0.267,0.054,0.956
-0.293,0.009,0.935
-0.306,0.042,0.905
-0.284,0.041,0.941
-0.312,0.092,0.907
-0.294,0,0.968
-0.311,0.019,0.898
-0.29,0.058,0.959
-0.292,0.057,0.962
-0.277,0.044,0.956
-0.278,0.02,0.964
-0.293,0.056,0.943
-0.272,0.012,0.985
-0.286,0.099,0.914
-0.266,0.019,0.962
-0.292,0.012,0.95
-0.291,0.06,0.929
-0.3,0.055,0.939
-0.281,0.05,0.973
-0.267,0.029,0.999
-0.303,0.06,0.908
-0.279,-0.01,0.976
-0.307,0.1,0.927
-0.275,0.034,0.967
-0.304,0.022,0.926
-0.291,0.018,0.918
-0.304,0.059,0.941
-0.287,0.072,0.957
-0.269,0.012,0.979
-0.305,0.064,0.922
-0.26,-0.008,1.017
-0.288,0.08,0.939
-0.259,0.046,0.957
-0.28,0.047,0.941
-0.291,0.008,0.948
-0.328,0.064,0.928
-0.295,0.064,0.94
-0.27,0.004,0.983
-0.308,0.083,0.928
-0.274,0.002,0.99
-0.313,0.05,0.912
-0.261,0.069,1.009
-0.283,0.065,0.955
-0.295,0.009,0.947
-0.289,0.006,0.95
-0.295,0.093,0.946
-0.251,0.019,1.001
-0.297,0.055,0.916
-0.302,0.03,0.957
-0.318,0.03,0.918
-0.271,0.047,0.983
-0.271,0.077,0.963
-0.262,0.038,0.969
-0.27,-0.019,1.002
-0.305,0.095,0.906
-0.274,0.023,0.972
-0.286,0.055,0.935
-0.266,0.044,0.979
-0.317,0.039,0.888
-0.288,0.031,0.956
-0.282,0.07,0.967
-0.278,0.069,0.963
-0.267,-0.018,1.004
-0.291,0.058,0.918
-0.261,0.032,0.989
-0.304,0.082,0.92
-0.283,0.008,0.961
-0.32,0.056,0.906
-0.298,0.014,0.945
-0.3,0.072,0.961
-0.287,0.08,0.949
-0.282,0.001,0.987
-0.309,0.034,0.917
-0.287,0.046,0.976
-0.308,0.077,0.915
-0.268,0,1.004
-0.268,0.076,0.967
-0.296,0.023,0.928
-0.307,0.023,0.935
-0.29,0.093,0.935
-0.27,0.026,0.975
-0.312,0.031,0.899
-0.287,0.029,0.991
-0.312,0.087,0.937
-0.257,0.031,1.008
-0.266,0.037,0.922
-0.289,0.045,0.957
-0.304,0.076,0.915
-0.307,0.044,0.972
-0.308,0.048,0.921
-0.285,-0.001,0.999
-0.318,0.092,0.909
-0.266,0.044,0.986
-0.268,0.03,0.989
-0.259,0.057,0.956
-0.296,0.008,0.946
-0.311,0.06,0.894
-0.275,0.05,0.991
-0.293,0.078,0.935
-0.289,-0.007,0.98
-0.317,0.051,0.91
-0.289,0.071,0.966
-0.294,0.031,0.951
-0.274,0.042,0.944
-0.294,0.028,0.971
-0.303,0.044,0.951
-0.267,0.035,0.991
-0.284,0.102,0.924
-0.275,-0.003,0.981
-0.316,0.033,0.938
-0.299,0.083,0.943
-0.289,0.046,0.963
-0.277,0.043,0.966
-0.264,0.041,1
-0.312,0.052,0.9
-0.288,0.011,0.978
-0.302,0.103,0.929
-0.269,0.022,0.968
-0.311,0.019,0.905
-0.313,0.051,0.935
-0.297,0.06,0.976
-0.276,0.051,0.963
-0.273,0.019,0.993
-0.298,0.062,0.921
-0.273,0.005,1.018
-0.305,0.084,0.923
-0.248,0.05,1.001
-0.294,0.021,0.933
-0.284,0.02,0.939
-0.313,0.077,0.926
-0.302,0.054,0.928
-0.278,0.016,0.988
-0.288,0.07,0.927
-0.284,0.006,0.976
-0.322,0.07,0.905
-0.255,0.069,1.015
-0.284,0.056,0.959
-0.28,0.006,0.945
-0.289,0.023,0.952
-0.285,0.098,0.953
-0.248,0.006,1.016
-0.294,0.055,0.909
-0.274,0.034,0.98
-0.317,0.033,0.936
-0.265,0.067,0.991
-0.278,0.07,0.966
-0.274,0.029,0.978
-0.287,0.003,0.993
-0.296,0.103,0.933
-0.254,0.014,0.993
-0.293,0.072,0.934
-0.268,0.045,1.007
-0.32,0.035,0.9
-0.294,0.048,0.97
-0.283,0.071,0.987
-0.262,0.055,0.99
-0.261,-0.007,1.01
-0.299,0.067,0.936
-0.253,0.051,0.996
-0.303,0.068,0.909
-0.293,0.011,0.953
-0.309,0.056,0.907
-0.298,0.019,0.968
-0.287,0.067,0.966
-0.271,0.081,0.952
-0.284,0.01,0.985
-0.302,0.042,0.927
-0.289,0.065,0.973
-0.29,0.065,0.953
-0.247,0.01,1.008
-0.254,0.08,0.981
-0.291,0.018,0.933
-0.314,0.033,0.913
-0.298,0.096,0.956
-0.26,0.02,0.996
-0.303,0.033,0.912
-0.289,0.025,1.003
-0.297,0.086,0.933
-0.266,0.036,1.01
-0.286,0.05,0.969
-0.278,0.046,0.948
-0.293,0.017,0.97
-0.31,0.087,0.924
-0.277,0.049,0.984
-0.281,0.04,0.934
-0.269,0.006,1.007
-0.307,0.105,0.908
-0.255,0.036,1.019
-0.274,0.044,0.996
-0.248,0.063,0.944
-0.296,0.014,0.915
-0.301,0.055,0.993
-0.267,0.081,0.925
