acc_x[g],acc_y[g],acc_z[g]
-0.322,0.021,0.943
-0.301,0.057,0.994
-0.294,0.098,0.898
-0.226,0.019,1.013
-0.293,0,0.961
-0.318,0.037,0.937
-0.313,0.132,0.921
-0.225,0,1.001
-0.235,-0.001,0.93
-0.303,0.029,0.894
-0.325,0.07,0.955
-0.247,-0.022,1.086
-0.279,0.028,0.986
-0.316,0.083,0.919
-0.283,0.068,0.863
-0.279,-0.003,0.964
-0.298,0.026,1.021
-0.296,0.055,0.99
-0.274,0.096,0.882
-0.25,-0.013,0.982
-0.308,0.016,0.955
-0.33,0.084,0.953
-0.277,0.086,0.963
-0.217,-0.002,1.014
-0.257,0.019,1.021
-0.304,0.067,0.951
-0.31,0.102,0.9
-0.242,0.038,1.003
-0.247,-0.02,1.03
-0.288,0.056,0.983
-0.333,0.114,0.886
-0.285,0.03,0.894
-0.241,-0.021,1.061
-0.271,0.029,1.005
-0.327,0.1,0.906
-0.3,0.074,0.849
-0.27,-0.031,1.018
-0.29,0.049,0.991
-0.278,0.097,1.03
-0.263,0.066,0.911
-0.26,-0.005,0.931
-0.314,0.02,0.945
-0.312,0.081,1.002
-0.281,0.105,0.962
-0.211,-0.005,1.022
-0.254,-0.001,0.976
-0.329,0.064,0.898
-0.335,0.096,0.89
-0.265,0.012,0.95
-0.242,0.015,1.037
-0.304,0.04,0.927
-0.327,0.106,0.898
-0.282,0.052,0.907
-0.268,-0.022,1.025
-0.255,0.064,1.028
-0.296,0.078,0.975
-0.287,0.064,0.869
-0.248,-0.012,1.009
-0.289,0.054,1.027
-0.291,0.067,0.986
-0.274,0.066,0.915
-0.232,-0.017,0.978
-0.312,0.044,0.914
-0.345,0.074,0.94
-0.31,0.059,0.937
-0.214,0.01,1.012
-0.237,0.015,1.006
-0.313,0.064,0.927
-0.368,0.097,0.858
-0.257,0.018,0.974
-0.212,0.01,1.083
-0.266,0.073,1.004
-0.327,0.079,0.924
-0.276,0.033,0.892
-0.258,0.007,1.036
-0.273,0.051,1.019
-0.299,0.074,0.947
-0.276,0.049,0.886
-0.267,-0.002,0.956
-0.298,0.047,0.98
-0.309,0.064,1.016
-0.288,0.069,0.89
-0.226,0.001,0.983
-0.282,0.028,0.97
-0.318,0.057,0.95
-0.324,0.101,0.929
-0.214,0.021,1.029
-0.229,0.015,1.034
-0.322,0.04,0.895
-0.352,0.083,0.887
-0.263,0.045,0.954
-0.234,0.026,1.073
-0.251,0.043,1.011
-0.32,0.06,0.915
-0.277,0.066,0.881
-0.249,0,0.999
-0.289,0.052,0.988
-0.318,0.058,0.974
-0.279,0.067,0.877
-0.233,0.009,1.015
-0.31,0.052,0.977
-0.315,0.056,0.976
-0.28,0.089,0.958
-0.214,0.011,0.995
-0.277,0.021,0.975
-0.35,0.052,0.914
-0.329,0.079,0.905
-0.202,0.041,1.029
-0.228,0.015,1.044
-0.307,0.012,0.932
-0.357,0.078,0.835
-0.275,0.06,0.915
-0.232,-0.001,1.005
-0.261,0.029,0.94
-0.306,0.07,0.829
-0.301,0.016,0.998
-0.301,0.033,1.001
-0.299,0.071,0.997
-0.278,0.097,0.895
-0.246,-0.003,0.981
-0.307,0.019,0.984
-0.307,0.067,0.988
-0.281,0.087,0.904
-0.209,0.03,1.022
-0.279,-0.009,0.98
-0.325,0.043,0.927
-0.335,0.122,0.91
-0.232,0.021,1.003
-0.221,-0.011,1.06
-0.289,0.029,0.959
-0.337,0.094,0.862
