acc_l_x[mg],acc_l_y[mg],acc_l_z[mg],acc_h_x[mg],acc_h_y[mg],acc_h_z[mg]
549.000,652.456,673.928,648.064,679.296,609.024
549.000,654.408,671.976,593.408,694.912,601.216
548.512,655.872,674.416,640.256,687.104,640.256
548.512,659.288,674.904,640.256,718.336,655.872
546.560,661.240,672.952,609.024,663.680,616.832
548.512,660.264,674.416,601.216,679.296,648.064
549.488,662.216,671.976,655.872,687.104,632.448
549.000,664.168,673.440,601.216,702.720,624.640
548.512,667.584,671.488,679.296,687.104,671.488
548.024,670.024,670.512,616.832,702.720,640.256
548.024,669.536,671.000,655.872,726.144,624.640
545.584,671.488,672.952,640.256,663.680,624.640
545.584,675.392,671.976,648.064,749.568,632.448
545.584,676.368,671.976,640.256,710.528,616.832
544.120,678.808,672.952,632.448,702.720,640.256
544.120,678.320,671.976,655.872,679.296,624.640
547.536,678.320,668.072,640.256,733.952,632.448
547.048,680.272,668.560,616.832,726.144,632.448
548.024,680.760,668.560,640.256,726.144,655.872
548.024,679.296,668.560,624.640,710.528,640.256
548.024,681.248,667.096,687.104,718.336,632.448
548.024,682.712,664.656,648.064,718.336,624.640
545.584,684.664,662.704,616.832,733.952,616.832
548.024,684.176,663.680,616.832,702.720,616.832
546.560,684.176,663.680,632.448,726.144,609.024
545.584,686.616,660.264,624.640,726.144,632.448
545.584,689.056,660.752,648.064,726.144,624.640
545.584,689.544,658.800,663.680,710.528,655.872
546.072,689.544,657.336,671.488,702.720,609.024
547.048,688.568,658.312,624.640,726.144,648.064
544.120,690.032,660.752,663.680,679.296,616.832
545.584,690.032,656.360,632.448,765.184,616.832
543.632,690.520,655.384,648.064,749.568,609.024
543.144,691.984,654.896,710.528,718.336,648.064
542.656,691.496,654.896,632.448,687.104,624.640
541.680,691.496,657.336,624.640,726.144,648.064
540.216,689.544,658.312,648.064,726.144,624.640
541.680,685.152,656.848,648.064,726.144,632.448
540.704,687.104,655.384,655.872,694.912,624.640
542.168,682.224,655.384,671.488,710.528,624.640
543.144,681.736,657.336,640.256,733.952,640.256
543.144,682.712,656.848,648.064,702.720,632.448
543.632,681.248,656.360,655.872,741.760,601.216
544.120,680.272,655.872,671.488,741.760,624.640
544.608,681.248,653.432,648.064,710.528,624.640
547.048,678.808,653.920,640.256,710.528,616.832
548.512,678.808,654.408,679.296,718.336,616.832
550.952,679.296,657.336,663.680,741.760,632.448
550.952,678.320,653.432,640.256,718.336,640.256
551.928,676.368,656.360,640.256,710.528,624.640
552.416,673.928,651.480,632.448,694.912,601.216
553.880,674.416,651.480,655.872,718.336,632.448
551.928,671.976,652.456,624.640,710.528,609.024
551.440,672.464,650.992,655.872,687.104,624.640
551.440,671.976,650.016,632.448,726.144,616.832
551.440,670.512,649.040,655.872,710.528,616.832
551.440,670.024,648.552,648.064,718.336,624.640
550.952,670.512,649.040,648.064,726.144,601.216
