acc_l_x[mg],acc_l_y[mg],acc_l_z[mg],acc_h_x[mg],acc_h_y[mg],acc_h_z[mg]
19.520,-372.344,925.248,62.464,-343.552,882.304
21.472,-370.880,926.712,85.888,-335.744,866.688
19.520,-371.368,925.736,39.040,-343.552,874.496
19.032,-371.856,927.200,7.808,-320.128,882.304
20.008,-371.856,926.224,39.040,-359.168,890.112
19.520,-371.368,928.176,70.272,-359.168,882.304
18.544,-371.368,927.200,46.848,-335.744,905.728
19.520,-370.392,927.200,70.272,-359.168,851.072
19.520,-370.880,925.248,7.808,-335.744,905.728
20.008,-369.904,927.200,54.656,-374.784,882.304
18.056,-368.928,926.712,39.040,-327.936,921.344
19.520,-368.928,927.688,62.464,-351.360,897.920
21.960,-369.416,927.688,62.464,-343.552,882.304
17.568,-369.904,927.200,39.040,-359.168,874.496
19.520,-368.440,926.712,62.464,-343.552,890.112
20.008,-369.904,923.296,39.040,-366.976,890.112
19.032,-369.416,925.248,62.464,-351.360,874.496
21.960,-372.344,926.712,85.888,-374.784,858.880
21.472,-369.904,926.712,54.656,-335.744,874.496
21.960,-368.440,928.176,54.656,-351.360,890.112
18.056,-369.904,926.712,46.848,-374.784,897.920
20.008,-370.880,928.176,70.272,-343.552,874.496
19.032,-369.904,924.760,62.464,-374.784,874.496
20.984,-371.856,924.760,31.232,-343.552,890.112
20.984,-371.856,927.688,62.464,-351.360,890.112
20.984,-370.880,925.736,46.848,-351.360,882.304
20.496,-371.368,926.712,54.656,-335.744,890.112
19.032,-372.344,930.616,70.272,-320.128,890.112
20.984,-372.832,929.152,62.464,-335.744,851.072
20.496,-370.880,927.200,54.656,-343.552,882.304
20.008,-369.904,926.712,54.656,-351.360,882.304
20.496,-370.880,927.200,54.656,-335.744,882.304
19.520,-369.416,925.736,46.848,-320.128,890.112
20.984,-371.368,926.224,39.040,-351.360,897.920
20.496,-370.880,925.736,39.040,-335.744,921.344
20.984,-371.856,926.224,31.232,-320.128,882.304
19.520,-370.392,927.688,54.656,-351.360,874.496
20.008,-370.880,926.712,54.656,-382.592,913.536
19.520,-371.368,925.736,31.232,-351.360,866.688
20.496,-371.368,925.736,46.848,-359.168,866.688
20.984,-370.880,925.736,62.464,-327.936,890.112
21.960,-370.392,926.224,39.040,-359.168,874.496
20.496,-369.416,926.224,62.464,-359.168,882.304
19.032,-370.880,924.760,62.464,-304.512,882.304
20.984,-369.416,925.248,46.848,-343.552,890.112
21.472,-370.880,924.272,54.656,-359.168,882.304
